xml,section,pathTemplate,kind,value,count,examplePath,candidateValues
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/diurnalBaseTime/text(),text,00:00:00Z,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[4]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/diurnalBaseTime/text(),00:00:00Z
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/endHour/text(),text,23,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[4]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/endHour/text(),23
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/endMinute/text(),text,59,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[4]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/endMinute/text(),59
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/endWeekday/text(),text,7,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[4]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/endWeekday/text(),7
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/startHour/text(),text,0,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[4]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/startHour/text(),0
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/startMinute/text(),text,0,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[4]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/startMinute/text(),0
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/startMonth/text(),text,1,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[4]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/startMonth/text(),1
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/startWeekday/text(),text,1,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[4]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/startWeekday/text(),1
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/diurnalBaseTime/text(),text,00:00:00Z,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[3]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/diurnalBaseTime/text(),00:00:00Z
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/endHour/text(),text,23,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[3]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/endHour/text(),23
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/endMinute/text(),text,59,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[3]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/endMinute/text(),59
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/endWeekday/text(),text,7,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[3]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/endWeekday/text(),7
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/startHour/text(),text,0,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[3]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/startHour/text(),0
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/startMinute/text(),text,0,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[3]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/startMinute/text(),0
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/startMonth/text(),text,1,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[3]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/startMonth/text(),1
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[]/DataGeneration/schedule/Schedule/startWeekday/text(),text,1,10,/WIGOSMetadataRecord/facility/ObservingFacility/observation[3]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration[1]/DataGeneration/schedule/Schedule/startWeekday/text(),1
resources/wmdr10_xml_examples/20250728_0-756-1-387493.xml,facility,/WIGOSMetadataRecord/facility/ObservingFacility/facilityLog/FacilityLog/logEntry[]/EventReport/author/text(),text,"C. Fierz, 2020-08-05",9,/WIGOSMetadataRecord/facility/ObservingFacility/facilityLog/FacilityLog/logEntry[1]/EventReport/author/text(),"C. Fierz, 2020-08-05"
resources/wmdr10_xml_examples/20251001_0-20008-0-MKN.xml,observation,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation/OM_Observation/metadata/MD_Metadata/contact/CI_ResponsibleParty/organisationName/CharacterString/text(),text,NOAA Earth System Research Laboratory - Global Monitoring Division,9,/WIGOSMetadataRecord/facility/ObservingFacility/observation[1]/ObservingCapability/observation/OM_Observation/metadata/MD_Metadata/contact/CI_ResponsibleParty/organisationName/CharacterString/text(),NOAA Earth System Research Laboratory - Global Monitoring Division
resources/wmdr10_xml_examples/20251218_0-20000-0-45004.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/startMonth/text(),text,1,9,/WIGOSMetadataRecord/facility/ObservingFacility/observation[1]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/startMonth/text(),1
resources/wmdr10_xml_examples/20250731_0-20000-0-06650.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/diurnalBaseTime/text(),text,06:00:00Z,8,/WIGOSMetadataRecord/facility/ObservingFacility/observation[1]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/diurnalBaseTime/text(),06:00:00Z
resources/wmdr10_xml_examples/20251001_0-20008-0-MKN.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endMinute/text(),text,59,8,/WIGOSMetadataRecord/facility/ObservingFacility/observation[9]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endMinute/text(),59
resources/wmdr10_xml_examples/20251001_0-20008-0-MKN.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endMonth/text(),text,12,8,/WIGOSMetadataRecord/facility/ObservingFacility/observation[9]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endMonth/text(),12
resources/wmdr10_xml_examples/20251001_0-20008-0-MKN.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endWeekday/text(),text,7,8,/WIGOSMetadataRecord/facility/ObservingFacility/observation[9]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endWeekday/text(),7
resources/wmdr10_xml_examples/20251001_0-20008-0-MKN.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/startMinute/text(),text,0,8,/WIGOSMetadataRecord/facility/ObservingFacility/observation[9]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/startMinute/text(),0
resources/wmdr10_xml_examples/20251001_0-20008-0-MKN.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/startMonth/text(),text,1,8,/WIGOSMetadataRecord/facility/ObservingFacility/observation[9]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/startMonth/text(),1
resources/wmdr10_xml_examples/20251001_0-20008-0-MKN.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/startWeekday/text(),text,1,8,/WIGOSMetadataRecord/facility/ObservingFacility/observation[9]/ObservingCapability/observation[1]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/startWeekday/text(),1
resources/wmdr10_xml_examples/20260318_0-20008-0-ARO.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation[]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/diurnalBaseTime/text(),text,00:00:00Z,8,/WIGOSMetadataRecord/facility/ObservingFacility/observation[1]/ObservingCapability/observation[3]/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/diurnalBaseTime/text(),00:00:00Z
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/diurnalBaseTime/text(),text,06:00:00Z,8,/WIGOSMetadataRecord/facility/ObservingFacility/observation[1]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/diurnalBaseTime/text(),06:00:00Z
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endHour/text(),text,23,8,/WIGOSMetadataRecord/facility/ObservingFacility/observation[1]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endHour/text(),23
resources/wmdr10_xml_examples/Blatten_20250729_0-20000-0-06725.xml,deployment,/WIGOSMetadataRecord/facility/ObservingFacility/observation[]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endMinute/text(),text,59,8,/WIGOSMetadataRecord/facility/ObservingFacility/observation[1]/ObservingCapability/observation/OM_Observation/procedure/Process/deployment/Deployment/dataGeneration/DataGeneration/schedule/Schedule/endMinute/text(),59
